utt	orth
cr06.cha_64	do you want some more ?
cr06.cha_65	&hmm ?
cr06.cha_66	&hmm ?
cr06.cha_67	tired ?
cr06.cha_68	&hmm ?
cr06.cha_69	let's change you're nappie .
cr06.cha_70	let's change you're nappie .
cr06.cha_71	there we are .
cr06.cha_72	there we are .
cr06.cha_73	mum's just going to get you're pants .
cr06.cha_74	hello .
cr06.cha_75	hello .
cr06.cha_76	hello beautiful .
cr06.cha_77	hello beautiful .
cr06.cha_78	have you got a big smile for mummie ?
cr06.cha_79	have you ?
cr06.cha_80	&eh ?
cr06.cha_81	have you ?
cr06.cha_82	hello beautiful .
cr06.cha_83	hello .
cr06.cha_84	who's got a big fat tummy ?
cr06.cha_85	&hmm ?
cr06.cha_86	who's got a big fat tummy ?
cr06.cha_87	have you got yourself sick ?
cr06.cha_88	have you ?
cr06.cha_89	o:h wipe it up .
cr06.cha_90	oh dear .
cr06.cha_91	oh dear .
cr06.cha_92	there we are .
cr06.cha_93	that's better .
cr06.cha_94	did you not want all of you're dinner ?
cr06.cha_95	did ya not ?
cr06.cha_96	&eh ?
cr06.cha_97	who's a beautiful little girl &hmm ?
cr06.cha_98	are you looking out the windows ?
cr06.cha_99	are you ?
cr06.cha_100	&hmm ?
cr06.cha_101	are you ?
cr06.cha_102	have ya got a big smile for mummie ?
cr06.cha_103	have ya ?
cr06.cha_104	have ya got a big smile for mummie ?
cr06.cha_105	what is it ?
cr06.cha_106	what is it ?
cr06.cha_107	what is it ?
cr06.cha_108	have ya got the hickies ?
cr06.cha_109	have ya got the hickies ?
cr06.cha_110	oh dear .
cr06.cha_111	oh dear oh dear .
cr06.cha_112	oh dear .
cr06.cha_113	it's a shame .
cr06.cha_114	isn't it a shame ?
cr06.cha_115	&hmm ?
cr06.cha_116	is that a big smile ?
cr06.cha_117	oh that's nice .
cr06.cha_118	that's nice .
cr06.cha_119	o:h .
cr06.cha_120	who's a gorgeous little girl ?
cr06.cha_121	&hmm ?
cr06.cha_122	who's a gorgeous little girl ?
cr06.cha_123	oh .
cr06.cha_124	have you got any more wind ?
cr06.cha_125	have you ?
cr06.cha_126	have a look at that .
cr06.cha_127	o:h what a mess .
cr06.cha_128	hello .
cr06.cha_129	hello again .
cr06.cha_130	what's the matter ?
cr06.cha_131	hey ?
cr06.cha_132	are ya fighting ?
cr06.cha_133	are ya having a fight ?
cr06.cha_134	are you ?
cr06.cha_135	who're ya fighting with ?
cr06.cha_136	&eh ?
cr06.cha_137	punch him on the nose .
cr06.cha_138	are you going to punch him on the nose ?
cr06.cha_139	o:h .
cr06.cha_140	you doing a dance ?
cr06.cha_141	are you doing a dance ?
cr06.cha_142	are you ?
cr06.cha_143	you doing a little dance for mummie ?
cr06.cha_144	oh .
cr06.cha_145	are you going to be a ballet dancer ?
cr06.cha_146	are you ?
cr06.cha_147	are you going to be a ballet dancer ?
cr06.cha_148	ticky ticky ticky .
cr06.cha_149	you haven't had a bath .
cr06.cha_150	have ya still got the hiccups ?
cr06.cha_151	that's no good is it ?
cr06.cha_152	&mm ?
cr06.cha_153	you still got the hiccups ?
cr06.cha_154	oh dear .
cr06.cha_155	what shall we do ?
cr06.cha_156	what shall we do ?
cr06.cha_157	hello .
cr06.cha_158	hello .
cr06.cha_159	oh .
cr06.cha_160	poor little Gillian .
cr06.cha_161	still got the hickies .
cr06.cha_162	haven't you ?
cr06.cha_163	I could cuddle you up .
cr06.cha_164	are you ?
cr06.cha_165	I can see where your little teeth are going to come .
cr06.cha_166	I can .
cr06.cha_167	I can see .
cr06.cha_168	I can see .
cr06.cha_169	yes I can .
cr06.cha_170	&mm .
cr06.cha_171	what lovely eyelashes you've got .
cr06.cha_172	what lovely eyelashes .
cr06.cha_173	are you still smiling ?
cr06.cha_174	right .
cr06.cha_175	let's finish you're bottom .
cr06.cha_176	let's finish you're bottom .
cr06.cha_177	o:h is it cold ?
cr06.cha_178	is it cold ?
cr06.cha_179	o:h .
cr06.cha_180	there's a good girl .
cr06.cha_181	there's a good girl .
cr06.cha_182	let's dry you .
cr06.cha_183	one .
cr06.cha_184	there we are .
cr06.cha_185	all nice and clean again .
cr06.cha_186	all nice and clean .
cr06.cha_187	o:h it's all wet there isn't it ?
cr06.cha_188	it's all wet there .
cr06.cha_189	there we are .
cr06.cha_190	put her some cream on .
cr06.cha_191	oh .
cr06.cha_192	nearly finished .
cr06.cha_193	nearly finished .
cr06.cha_194	there we are .
cr06.cha_195	that's better .
cr06.cha_196	up we go .
cr06.cha_197	you a sleepy head ?
cr06.cha_198	are you ?
cr06.cha_199	are you a sleepy head ?
cr06.cha_200	&hmm ?
cr06.cha_201	are you ?
cr06.cha_202	hello .
cr06.cha_203	hello .
cr06.cha_204	have you got a smile have you ?
cr06.cha_205	have you got a smile for mummie ?
cr06.cha_206	&hmm ?
cr06.cha_207	&hmm ?
cr06.cha_208	are you ?
cr06.cha_209	have a look out the window .
cr06.cha_210	&hmm ?
cr06.cha_211	o:h what's out there ?
cr06.cha_212	that's bright isn't it ?
cr06.cha_213	&hmm ?
cr06.cha_214	that's bright .
cr06.cha_215	does it hurt your little eyes ?
cr06.cha_216	what's all this then ?
cr06.cha_217	what's all this ?
cr06.cha_218	&hmm ?
cr06.cha_219	it's more milk .
cr06.cha_220	want some more dinner ?
cr06.cha_221	&mm ?
cr06.cha_222	do you ?
cr06.cha_223	sleepy head aren't we ?
cr06.cha_224	we're a sleepy head .
cr06.cha_225	let's get you're bed ready .
cr06.cha_226	there we go .
cr06.cha_227	there we go .
cr06.cha_228	into bed .
cr06.cha_229	what's the matter ?
cr06.cha_230	&hmm ?
cr06.cha_231	what's the matter ?
cr06.cha_232	&a:h .
cr06.cha_233	what is it ?
cr06.cha_234	&hmm ?
cr06.cha_235	what is it ?
cr06.cha_236	do you want to go to bed ?
cr06.cha_237	do you ?
cr06.cha_238	do you want to go Bobo's ?
cr06.cha_239	&eh ?
cr06.cha_240	shush shush shush .
cr06.cha_241	what is it ?
cr06.cha_242	hey ?
cr06.cha_243	hello .
cr06.cha_244	hello .
cr06.cha_245	hello .
cr06.cha_246	what is it ?
cr06.cha_247	hey ?
cr06.cha_248	what is it ?
cr06.cha_249	have you woken up ?
cr06.cha_250	have you ?
cr06.cha_251	have you woken up ?
cr06.cha_252	hey ?
cr06.cha_253	hello .
cr06.cha_254	hello .
cr06.cha_255	whoops .
cr06.cha_256	are you ?
cr06.cha_257	hello .
cr06.cha_258	hello .
cr06.cha_259	&hmm ?
cr06.cha_260	are you a hungry girl ?
cr06.cha_261	are you hungry again ?
cr06.cha_262	&mm ?
cr06.cha_263	are you ?
cr06.cha_264	shall we take you downstairs to see daddy ?
cr06.cha_265	shall we ?
cr06.cha_266	shall we take you downstairs ?
cr06.cha_267	&hmm ?
cr06.cha_268	come on then .
cr06.cha_269	come on .
cr06.cha_270	let's move this way .
cr06.cha_271	there we go .
cr06.cha_272	there we go .
cr06.cha_273	whoops .
cr06.cha_274	there we are .
cr06.cha_275	hello .
cr06.cha_276	did you just want to see what was going on ?
cr06.cha_277	did you ?
cr06.cha_278	hey ?
cr06.cha_279	well .
cr06.cha_280	I'm not sure whether you're hungry or not .
cr06.cha_281	I'm not .
cr06.cha_282	are you hungry ?
cr06.cha_283	are you going to tell me ?
cr06.cha_284	are you ?
cr06.cha_285	hello .
cr06.cha_286	hello .
cr06.cha_287	hello beautiful .
cr06.cha_288	hello beautiful .
cr06.cha_289	you've just been out .
cr06.cha_290	you have .
cr06.cha_291	with your daddy .
cr06.cha_292	don't ya ?
cr06.cha_293	don't ya my little pudding ?
cr06.cha_294	my little dumpling .
cr06.cha_295	&mm ?
cr06.cha_296	what's the matter ?
cr06.cha_297	&eh ?
cr06.cha_298	are you going to give me a big smile ?
cr06.cha_299	o:h that's nice .
cr06.cha_300	that's nice .
cr06.cha_301	is it funny ?
cr06.cha_302	is it ?
cr06.cha_303	is that funny ?
cr06.cha_304	little monkey face .
cr06.cha_305	you look like a monkey .
cr06.cha_306	you do .
cr06.cha_307	what's the matter ?
cr06.cha_308	not very .
cr06.cha_309	not very .
cr06.cha_310	not very little (unintelligible) .
cr06.cha_311	&mm .
cr06.cha_312	where's my dinner ?
cr06.cha_313	where's my dinner ?
cr06.cha_314	o:h o:h .
cr06.cha_315	who looks like a little yellow chicken ?
cr06.cha_316	&hmm ?
cr06.cha_317	Gillian does .
cr06.cha_318	Gillian does .
cr06.cha_319	like a little yellow chicken .
cr06.cha_320	aren't you ?
cr06.cha_321	&hmm ?
cr06.cha_322	like a fluffy chicken .
cr06.cha_323	what's the matter ?
cr06.cha_324	I want some din dins she says .
cr06.cha_325	I want some din dins .
cr06.cha_326	whee .
cr06.cha_327	what's all that noise ?
cr06.cha_328	&mm ?
cr06.cha_329	what's all that noise ?
cr06.cha_330	hello .
cr06.cha_331	hello .
cr06.cha_332	hello Gillian .
cr06.cha_333	hello Gillian .
cr06.cha_334	hello .
cr06.cha_335	hello fatty .
cr06.cha_336	hello fatty .
cr06.cha_337	you've got a cold belly haven't you ?
cr06.cha_338	you've got a cold little belly .
cr06.cha_339	you have .
cr06.cha_340	what's the matter ?
cr06.cha_341	&hmm ?
cr06.cha_342	what's the matter ?
cr06.cha_343	&hmm ?
cr06.cha_344	oh dear .
cr06.cha_345	oh dear .
cr06.cha_346	come on then .
cr06.cha_347	come on .
cr06.cha_348	did that go down the wrong way ?
cr06.cha_349	&hmm ?
cr06.cha_350	did it ?
cr06.cha_351	whoops_a_daisy .
cr06.cha_352	big burps now for mummie .
cr06.cha_353	&mm ?
cr06.cha_354	big burps .
cr06.cha_355	there we are .
cr06.cha_356	oh got a floppy head ?
cr06.cha_357	have we got a floppy head ?
cr06.cha_358	are you tired now ?
cr06.cha_359	&hmm ?
cr06.cha_360	full of milk .
cr06.cha_361	your tummy full of milk ?
cr06.cha_362	is it ?
cr06.cha_363	&a:h &a:h .
cr06.cha_364	are we full up to the top ?
cr06.cha_365	can't squeeze any more in ?
cr06.cha_366	&mm ?
cr06.cha_367	who's like a little sack of spuddies ?
cr06.cha_368	&mm ?
cr06.cha_369	you're like a little sack of spuds .
cr06.cha_370	o:h .
cr06.cha_371	up we come .
cr06.cha_372	oh who's a heavy girl ?
cr06.cha_373	aren't you ?
cr06.cha_374	you're a heavy baby .
cr06.cha_375	what's that ?
cr06.cha_376	what's that ?
cr06.cha_377	oops .
cr06.cha_378	oops .
cr06.cha_379	hello .
cr06.cha_380	hello .
cr06.cha_381	hello .
cr06.cha_382	hello gorgeous .
cr06.cha_383	do you want to lie down ?
cr06.cha_384	have you (unintelligible) again ?
cr06.cha_385	oh dear .
cr06.cha_386	oh dear .
cr06.cha_387	hello .
cr06.cha_388	what's the matter ?
cr06.cha_389	hey ?
cr06.cha_390	hello baby .
cr06.cha_391	hello baby .
cr06.cha_392	hello .
cr06.cha_393	shush .
cr06.cha_394	there there .
cr06.cha_395	shush .
cr06.cha_396	&a:h .
cr06.cha_397	there .
cr06.cha_398	there .
cr06.cha_399	what's the matter ?
cr06.cha_400	hey ?
cr06.cha_401	hey ?
cr06.cha_402	what's the matter ?
cr06.cha_403	there .
cr06.cha_404	shh .
cr06.cha_405	oh dear Gillian .
cr06.cha_406	Gillian .
cr06.cha_407	what is it hey ?
cr06.cha_408	what is it ?
cr06.cha_409	what's the matter ?
cr06.cha_410	hey ?
cr06.cha_411	hey ?
cr06.cha_412	oh there there there .
cr06.cha_413	oh dear .
cr06.cha_414	what's the matter bunny rabbit ?
cr06.cha_415	what's the matter ?
cr06.cha_416	&eh ?
cr06.cha_417	shush .
cr06.cha_418	oh dear .
cr06.cha_419	what's the matter ?
cr06.cha_420	hey ?
cr06.cha_421	oh dear .
cr06.cha_422	what is it hey ?
cr06.cha_423	are you going to lie on your side ?
cr06.cha_424	whee .
cr06.cha_425	oh you don't like that ?
cr06.cha_426	oh dear .
cr06.cha_427	oh dear .
cr06.cha_428	what's the matter ?
cr06.cha_429	hey ?
cr06.cha_430	no tears are there ?
cr06.cha_431	no tears .
cr06.cha_432	did you have a fright &hmm ?
cr06.cha_433	did you ?
cr06.cha_434	oh dear oh dear .
cr06.cha_435	what's the matter baby ?
cr06.cha_436	hey ?
cr06.cha_437	what's the matter ?
cr06.cha_438	oh dear .
cr06.cha_439	oh dear .
cr06.cha_440	hello .
cr06.cha_441	you've been bobyes@f a long time .
cr06.cha_442	haven't you ?
cr06.cha_443	&hmm ?
cr06.cha_444	did you forget ?
cr06.cha_445	did you ?
cr06.cha_446	did you forget that it was tea time ?
cr06.cha_447	&hmm ?
cr06.cha_448	did you forget what your tummy was for ?
cr06.cha_449	&hmm ?
cr06.cha_450	to be filled with milk .
cr06.cha_451	I bet you did .
cr06.cha_452	are you sucking your thumb ?
cr06.cha_453	&ah: .
cr06.cha_454	come on then .
cr06.cha_455	come on then .
cr06.cha_456	&a:h .
cr06.cha_457	you've been waiting a long time haven't you ?
cr06.cha_458	hey ?
cr06.cha_459	it's shooting right up in the air .
cr06.cha_460	there now then .
cr06.cha_461	I bet you're (unintelligible) .
cr06.cha_462	oh dear .
cr06.cha_463	there .
cr06.cha_464	oh dear .
cr06.cha_465	oh dear .
cr06.cha_466	is that better ?
cr06.cha_467	&hmm ?
cr06.cha_468	is that better ?
cr06.cha_469	come on then .
cr06.cha_470	you had enough now ?
cr06.cha_471	oh here we go .
cr06.cha_472	here we go .
cr06.cha_473	out it comes again .
cr06.cha_474	o:h what a face .
cr06.cha_475	what a face .
cr06.cha_476	she's filling her pants for daddy .
cr06.cha_477	aren't you ?
cr06.cha_478	&hmm ?
cr06.cha_479	what's the matter ?
cr06.cha_480	hello hello .
cr06.cha_481	come on then .
cr06.cha_482	do you ?
cr06.cha_483	&hmm ?
cr06.cha_484	you shouting ?
cr06.cha_485	&hmm ?
cr06.cha_486	are you shouting ?
cr06.cha_487	o:h there we are .
cr06.cha_488	there we are .
cr06.cha_489	o:h you happy girl .
cr06.cha_490	happy girl .
cr06.cha_491	do do do do do .
cr06.cha_492	tiddleydee@i .
cr06.cha_493	who's happy girl ?
cr06.cha_494	oh .
cr06.cha_495	yes I am .
cr06.cha_496	yes I am .
cr06.cha_497	gotta get my wash .
cr06.cha_498	&hmm ?
cr06.cha_499	there we are .
cr06.cha_500	there we are .
cr06.cha_501	there we are .
cr06.cha_502	there we are .
cr06.cha_503	come on chucky .
cr06.cha_504	do you want more breakfast ?
cr06.cha_505	&hmm ?
cr06.cha_506	hello .
cr06.cha_507	do you want to know where you are ?
cr06.cha_508	you get all confused on this side .
cr06.cha_509	hello hello .
cr06.cha_510	what's the matter then ?
cr06.cha_511	hey ?
cr06.cha_512	&hmm ?
cr06.cha_513	bye bye love .
cr06.cha_514	hello hello .
cr06.cha_515	come on .
cr06.cha_516	come on .
cr06.cha_517	hello .
cr06.cha_518	hello beautiful .
cr06.cha_519	o:h that's a big smile .
cr06.cha_520	that's a big smile .
cr06.cha_521	hello .
cr06.cha_522	hello .
cr06.cha_523	hello .
cr06.cha_524	hello gorgeous .
cr06.cha_525	hello .
cr06.cha_526	hello Gillian .
cr06.cha_527	hello Gillian .
cr06.cha_528	hello .
cr06.cha_529	hello Gillian .
cr06.cha_530	what ya do ?
cr06.cha_531	hey ?
cr06.cha_532	what ya do ?
cr06.cha_533	who's got a dirty face ?
cr06.cha_534	hey ?
cr06.cha_535	who's got a dirty face ?
cr06.cha_536	come on then .
cr06.cha_537	come on come on .
cr06.cha_538	what's the matter ?
cr06.cha_539	&mm yes .
cr06.cha_540	oh that's a good girl .
cr06.cha_541	bless you .
cr06.cha_542	what is it ?
cr06.cha_543	hey ?
cr06.cha_544	what is it ?
cr06.cha_545	&hmm ?
cr06.cha_546	&a:h there there .
cr06.cha_547	there there .
cr06.cha_548	oh dear .
cr06.cha_549	oh dear .
cr06.cha_550	oh there there there .
cr06.cha_551	what is it hey ?
cr06.cha_552	what is it ?
cr06.cha_553	there there .
cr06.cha_554	&a:h did you not like your bath ?
cr06.cha_555	hey ?
cr06.cha_556	did you not like your bath &hmm ?
cr06.cha_557	never mind .
cr06.cha_558	never mind .
cr06.cha_559	there there there .
cr06.cha_560	there there there .
cr06.cha_561	&a:h poor baby .
cr06.cha_562	did you not like it hey ?
cr06.cha_563	was it nasty ?
cr06.cha_564	it's all over now .
cr06.cha_565	yes it is .
cr06.cha_566	it's all over .
cr06.cha_567	&a:h .
cr07.cha_1	Gillian .
cr07.cha_2	Gillian .
cr07.cha_3	Gillian .
cr07.cha_4	oh that's a good girl .
cr07.cha_5	that's a good guy .
cr07.cha_6	do you still have windy ?
cr07.cha_7	do you ?
cr07.cha_8	&hmm ?
cr07.cha_9	want to give me a smile ?
cr07.cha_10	&hmm ?
cr07.cha_11	do you ?
cr07.cha_12	give me a smile ?
cr07.cha_13	do you ?
cr07.cha_14	&hmm ?
cr07.cha_15	hello .
cr07.cha_16	Gillian .
cr07.cha_17	who's that ?
cr07.cha_18	what's that ?
cr07.cha_19	don't feel like smiling now ?
cr07.cha_20	&hmm ?
cr07.cha_21	do you not feel like smiling ?
cr07.cha_22	&hmm ?
cr07.cha_23	hello .
cr07.cha_24	hello .
cr07.cha_25	are you hungry ?
cr07.cha_26	&hmm ?
cr07.cha_27	are you ?
cr07.cha_28	oh dear dear .
cr07.cha_29	are you hungry ?
cr07.cha_30	&hmm ?
cr07.cha_31	hi .
cr07.cha_32	&hmm ?
cr07.cha_33	hello .
cr07.cha_34	hello .
cr07.cha_35	going to smile for the camera ?
cr07.cha_36	&hmm ?
cr07.cha_37	are you ?
cr07.cha_38	are you going to smile for the camera ?
cr07.cha_39	hello .
cr07.cha_40	hello .
cr07.cha_41	come on big smile .
cr07.cha_42	big smile .
cr07.cha_43	big smile .
cr07.cha_44	that's a good girl come on .
cr07.cha_45	oh dear ?
cr07.cha_46	what chou [: you] looking at ?
cr07.cha_47	what chou [: you] looking at ?
cr07.cha_48	hey ?
cr07.cha_49	what chou [: you] looking at ?
cr07.cha_50	hello .
cr07.cha_51	hello .
cr07.cha_52	that's a funny face .
cr07.cha_53	that's a funny face .
cr07.cha_54	Gillian .
cr07.cha_55	Gillian .
cr07.cha_56	oh hello .
cr07.cha_57	hello .
cr07.cha_58	what is it ?
cr07.cha_59	&hmm ?
cr07.cha_60	want something to eat ?
cr07.cha_61	do you ?
cr07.cha_62	are we going to have a smile ?
cr07.cha_63	&hmm ?
cr07.cha_64	are we ?
cr07.cha_65	are you going to smile ?
cr07.cha_66	hello .
cr07.cha_67	hello .
cr07.cha_68	well ?
cr07.cha_69	hello .
cr07.cha_70	hello .
cr07.cha_71	hey ?
cr07.cha_72	hello .
cr07.cha_73	hello Gillian .
cr07.cha_74	hello .
cr07.cha_75	who's got a funny face ?
cr07.cha_76	&hmm ?
cr07.cha_77	still burping ?
cr07.cha_78	are you ?
cr07.cha_79	hello then .
cr07.cha_80	Gillian .
cr07.cha_81	Gillian look ?
cr07.cha_82	Gillian ?
cr07.cha_83	hello Gillian .
cr07.cha_84	hello .
cr07.cha_85	what's this ?
cr07.cha_86	what's this then ?
cr07.cha_87	hey ?
cr07.cha_88	have you seen this ?
cr07.cha_89	what's this ?
cr07.cha_90	what's this ?
cr07.cha_91	&hmm ?
cr07.cha_92	have you got the hiccoughs ?
cr07.cha_93	have you ?
cr07.cha_94	have you got the hickies ?
cr07.cha_95	hey ?
cr07.cha_96	oh dear .
cr07.cha_97	oh dear .
cr07.cha_98	oh dear .
cr07.cha_99	you're looking out the window aren't you ?
cr07.cha_100	hey ?
cr07.cha_101	oh dear .
cr07.cha_102	oh dear .
cr07.cha_103	what's that then ?
cr07.cha_104	what's that in there ?
cr07.cha_105	&hmm ?
cr07.cha_106	you got the nasty hiccoughs ?
cr07.cha_107	have you ?
cr07.cha_108	that's a shame isn't it ?
cr07.cha_109	&hmm ?
cr07.cha_110	it's a shame .
cr07.cha_111	oh dear .
cr07.cha_112	poor Gillian .
cr07.cha_113	poor Gillian .
cr07.cha_114	have you got any burps ?
cr07.cha_115	&hmm ?
cr07.cha_116	have you ?
cr07.cha_117	have you got any burps ?
cr07.cha_118	oh ?
cr07.cha_119	dear ?
cr07.cha_120	you see ?
cr07.cha_121	o:h ?
cr07.cha_122	you got some nasty wind ?
cr07.cha_123	have you got nasty wind ?
cr07.cha_124	&hmm ?
cr07.cha_125	oh isn't it a shame ?
cr07.cha_126	what a shame isn't it all &hmm ?
cr07.cha_127	hello .
cr07.cha_128	hello beautiful .
cr07.cha_129	hello .
cr07.cha_130	what you looking at ?
cr07.cha_131	&hmm ?
cr07.cha_132	what you looking at ?
cr07.cha_133	hello .
cr07.cha_134	you looking at the camera ?
cr07.cha_135	is your tummy full ?
cr07.cha_136	isn't it ?
cr07.cha_137	your tummy full of milk ?
cr07.cha_138	&hmm ?
cr07.cha_139	is it ?
cr07.cha_140	big girl .
cr07.cha_141	hello beautiful .
cr07.cha_142	hello .
cr07.cha_143	who's a pretty girl then ?
cr07.cha_144	hello .
cr07.cha_145	hello Gillian .
cr07.cha_146	hello .
cr07.cha_147	whee !
cr07.cha_148	whee ?
cr07.cha_149	is it nice ?
cr07.cha_150	oh pardon ?
cr07.cha_151	oh ?
cr07.cha_152	oh ?
cr07.cha_153	dear .
cr07.cha_154	hello .
cr07.cha_155	hello .
cr07.cha_156	you got the nasty hiccoughs ?
cr07.cha_157	have you ?
cr07.cha_158	hey ?
cr07.cha_159	have you ?
cr07.cha_160	what shall we +...
cr07.cha_161	what shall we do ?
cr07.cha_162	&hmm ?
cr07.cha_163	what shall we do ?
cr07.cha_164	did you gobble the milk too fast ?
cr07.cha_165	did you ?
cr07.cha_166	did you gobble it too fast ?
cr07.cha_167	&hmm ?
cr07.cha_168	it's a shame .
cr07.cha_169	it's a shame isn't it ?
cr07.cha_170	hey ?
cr07.cha_171	it's a shame .
cr07.cha_172	hello .
cr07.cha_173	hello .
cr07.cha_174	big strong girl aren't you ?
cr07.cha_175	big strong girl .
cr07.cha_176	you dancing ?
cr07.cha_177	&hmm ?
cr07.cha_178	dance ?
cr07.cha_179	well let's out with a smile huh ?
cr07.cha_180	&hmm ?
cr07.cha_181	you're not going to smile for me ?
cr07.cha_182	yes .
cr07.cha_183	hey ?
cr07.cha_184	who's this ?
cr07.cha_185	hello .
cr07.cha_186	hello then .
cr07.cha_187	hello then .
cr07.cha_188	who's this ?
cr07.cha_189	who's this ?
cr07.cha_190	hey ?
cr07.cha_191	who's this there ?
cr07.cha_192	&hmm ?
cr07.cha_193	you look like a drunkard .
cr07.cha_194	you look like a drunkard .
cr07.cha_195	you are .
cr07.cha_196	&hmm ?
cr07.cha_197	you are .
cr07.cha_198	are you_all full up with milk ?
cr07.cha_199	&hmm ?
cr07.cha_200	are you pinching ?
cr07.cha_201	are you ?
cr07.cha_202	are you pinching ?
cr07.cha_203	what's this ?
cr07.cha_204	what's this ?
cr07.cha_205	what's this ?
cr07.cha_206	hey .
cr07.cha_207	want to go ?
cr07.cha_208	where're you going ?
cr07.cha_209	want to go for a walk ?
cr07.cha_210	&hmm ?
cr07.cha_211	do you ?
cr07.cha_212	hello .
cr07.cha_213	hello .
cr07.cha_214	who's a pretty girlie then ?
cr07.cha_215	Gillian .
cr07.cha_216	who's a pretty girl ?
cr07.cha_217	cheeky thing .
cr07.cha_218	where d(o) you go ?
cr07.cha_219	what is it ?
cr07.cha_220	a smile ?
cr07.cha_221	at last .
cr07.cha_222	that's a good girl nice big smile .
cr07.cha_223	nice big smile for the camera .
cr07.cha_224	&hmm ?
cr07.cha_225	is it ?
cr07.cha_226	hello .
cr07.cha_227	hello .
cr07.cha_228	look ?
cr07.cha_229	look ?
cr07.cha_230	o:h what ?
cr07.cha_231	&hmm ?
cr07.cha_232	o:h what ?
cr07.cha_233	o:h ?
cr07.cha_234	look up there ?
cr07.cha_235	what goes on up there ?
cr07.cha_236	&hmm ?
cr07.cha_237	do you wonder what's happening ?
cr07.cha_238	do you ?
cr07.cha_239	do you wonder what's going on up there ?
cr07.cha_240	&hmm ?
cr07.cha_241	hello .
cr07.cha_242	what's this ?
cr07.cha_243	what's up there ?
cr07.cha_244	but we don't want that do we really ?
cr07.cha_245	&hmm ?
cr07.cha_246	are you looking at the camera ?
cr07.cha_247	are you ?
cr07.cha_248	is it interesting ?
cr07.cha_249	is it ?
cr07.cha_250	going to sleep ?
cr07.cha_251	who's that ?
cr07.cha_252	who's there ?
cr07.cha_253	&hmm ?
cr07.cha_254	who's that ?
cr07.cha_255	what's that ?
cr07.cha_256	what's that funny thing ?
cr07.cha_257	&hmm ?
cr07.cha_258	oh dear .
cr07.cha_259	poor Gillian .
cr07.cha_260	poor Gillian .
cr07.cha_261	let's lift you up shall we ?
cr07.cha_262	whee !
cr07.cha_263	whee !
cr07.cha_264	oh dear .
cr07.cha_265	shall we take your mind off them ?
cr07.cha_266	&hmm ?
cr07.cha_267	shall we ?
cr07.cha_268	what's this ?
cr07.cha_269	what's this ?
cr07.cha_270	this .
cr07.cha_271	hello .
cr07.cha_272	hello .
cr07.cha_273	hello .
cr07.cha_274	who's this ?
cr07.cha_275	it's a teddy bear .
cr07.cha_276	who is it ?
cr07.cha_277	oh what a shame it's a shame .
cr07.cha_278	oh ?
cr07.cha_279	is that because you had the meal too fast ?
cr07.cha_280	&hmm ?
cr07.cha_281	is it ?
cr07.cha_282	too rich ?
cr07.cha_283	is that your teddy bear ?
cr07.cha_284	hello .
cr07.cha_285	hello Gillian .
cr07.cha_286	hello Gillian .
cr07.cha_287	hello Gillian .
cr07.cha_288	got any more smiles ?
cr07.cha_289	have you ?
cr07.cha_290	&hmm ?
cr07.cha_291	they gone they gone ?
cr07.cha_292	maybe .
cr07.cha_293	&ah: .
cr07.cha_294	&ah ?
cr07.cha_295	what a shame .
